intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-protein-mutations,design/orf-source-organism,design/misc,design-genome/organism,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
E coli expression,951,4046980,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046885,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046860,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046926,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046965,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046907,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046733,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046838,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046784,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046958,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046853,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046794,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046796,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046978,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046795,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046729,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046936,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046884,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046857,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046917,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046868,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046928,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046743,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046952,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046863,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046861,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046798,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046894,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046968,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046888,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046789,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046951,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046851,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046967,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046755,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046919,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046927,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046942,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046752,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046875,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046847,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046734,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046822,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046962,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046770,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046941,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046953,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046821,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046904,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046787,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046750,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046892,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046881,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046966,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046873,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046759,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046949,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046811,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046765,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046812,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046806,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046934,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046727,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046943,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046891,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046809,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046971,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046918,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046774,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046731,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046764,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046766,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046948,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046825,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046920,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046799,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046832,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046819,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046814,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046929,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046935,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046728,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046910,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046887,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046768,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046824,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046870,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046823,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046739,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046754,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046788,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046859,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046940,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046946,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
